specification,beta,std_error,t,p,n_funds,n_firms,r2,p_bootstrap,ci95_low,ci95_high,includes_zero
"1. All funds, vintage FE",0.3904,0.139,2.81,0.005,129,75,0.298,0.0055,0.1181,0.6628,False
"2. Mature only, vintage FE",0.2478,0.1088,2.28,0.0228,87,51,0.521,0.0447,0.0345,0.4611,False
"3. Mature, adjacent funds only  [HEADLINE]",0.2142,0.1381,1.55,0.1209,65,39,0.652,0.1867,-0.0565,0.4849,True
4. Row 3 + log commitment,0.2152,0.1451,1.48,0.1379,65,39,0.653,0.2231,-0.0691,0.4996,True
5. Row 3 + fund number,0.1927,0.1357,1.42,0.1555,65,39,0.665,0.2118,-0.0732,0.4586,True
"6. Row 3, excluding vintage anomalies",0.2142,0.1381,1.55,0.1209,65,39,0.652,0.1867,-0.0565,0.4849,True
"7. Row 3, dependent = net IRR",0.1234,0.1102,1.12,0.2626,63,37,0.439,0.3196,-0.0925,0.3394,True
8. Winsorised 1/99,0.214,0.1383,1.55,0.1217,65,39,0.652,0.187,-0.057,0.485,True
8. Winsorised 5/95,0.2224,0.1577,1.41,0.1584,65,39,0.668,0.2194,-0.0866,0.5315,True
9. Families with 3+ funds,0.1483,0.2109,0.7,0.4819,44,18,0.738,0.6956,-0.2651,0.5618,True
