fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,net_irr,not_meaningful,source,as_of
"CALPERS::2024 Golden Bay, L.P.","2024 Golden Bay, L.P.",2025,100000000,24096354,0,25746982,25746982,1.0685011516680076,,True,CalPERS PEP,2026-08-13
"CALPERS::2SP I, L.P.","2SP I, L.P.",2024,600000000,243895444,0,360546696,360546696,1.47828385018951,,True,CalPERS PEP,2026-08-13
"CALPERS::57 Stars Global Opportunities Fund 2 (CalPERS), LLC","57 Stars Global Opportunities Fund 2 (CalPERS), LLC",2009,500000000,530332243,537037595,757666632,220629037,1.4286640912383672,0.057,False,CalPERS PEP,2026-08-13
"CALPERS::57 Stars Global Opportunities Fund, LLC","57 Stars Global Opportunities Fund, LLC",2007,390500000,414998177,558373566,570288048,11914482,1.3741941039900039,0.059000000000000004,False,CalPERS PEP,2026-08-13
"CALPERS::AACP AP Investors, L.P.","AACP AP Investors, L.P.",2007,14108080,15007205,16976917,16976917,0,1.1312510890602214,0.02,False,CalPERS PEP,2026-08-13
CALPERS::AACP China Growth Investors,AACP China Growth Investors,2007,50000000,52040183,83160811,83480582,319771,1.6041561959918549,0.078,False,CalPERS PEP,2026-08-13
CALPERS::AACP India Investors B,AACP India Investors B,2007,5000000,5317745,21092084,21124531,32447,3.9724603191766437,0.128,False,CalPERS PEP,2026-08-13
CALPERS::AACP India Investors C,AACP India Investors C,2009,5000000,5320648,4658216,4703782,45566,0.8840618661486346,-0.016,False,CalPERS PEP,2026-08-13
CALPERS::AACP India Venture Investors A,AACP India Venture Investors A,2007,5000000,5065536,5653594,5705826,52232,1.126401233749005,0.019,False,CalPERS PEP,2026-08-13
"CALPERS::Accel-KKR Capital Partners VII, LP","Accel-KKR Capital Partners VII, LP",2025,180000000,14022210,0,5875818,5875818,0.4190365142156621,,True,CalPERS PEP,2026-08-13
"CALPERS::Acrew Capital Fund III, L.P.","Acrew Capital Fund III, L.P.",2024,70000000,25704357,0,23139553,23139553,0.9002190951518453,,True,CalPERS PEP,2026-08-13
"CALPERS::Acrew Diversify Capital Fund II, L.P.","Acrew Diversify Capital Fund II, L.P.",2024,50000000,11336269,0,9780182,9780182,0.8627337618752695,,True,CalPERS PEP,2026-08-13
CALPERS::Advent Global Technology II Limited Partnership,Advent Global Technology II Limited Partnership,2022,150000000,102024862,0,138732537,138732537,1.3597914692597184,0.141,False,CalPERS PEP,2026-08-13
CALPERS::Advent International GPE IX Limited Partnership,Advent International GPE IX Limited Partnership,2019,550000000,525249416,170666398,859977664,689311266,1.6372748599115055,0.136,False,CalPERS PEP,2026-08-13
"CALPERS::Advent International GPE V-D, L.P.","Advent International GPE V-D, L.P.",2005,81102858,77609736,187471024,187471024,0,2.415560645638583,0.42700000000000005,False,CalPERS PEP,2026-08-13
"CALPERS::Advent International GPE VI-A, L.P.","Advent International GPE VI-A, L.P.",2008,500000000,502306204,1006375016,1045055779,38680763,2.080515372252898,0.163,False,CalPERS PEP,2026-08-13
"CALPERS::Advent International GPE VII-C, L.P.","Advent International GPE VII-C, L.P.",2012,450000000,432732784,747260966,783821767,36560801,1.8113297535598782,0.132,False,CalPERS PEP,2026-08-13
CALPERS::Advent International GPE VIII-B Limited Partnership,Advent International GPE VIII-B Limited Partnership,2016,500000000,500000000,735045954,1041309643,306263689,2.082619286,0.155,False,CalPERS PEP,2026-08-13
CALPERS::Advent International GPE X Limited Partnership,Advent International GPE X Limited Partnership,2022,650000000,355940491,0,493471767,493471767,1.3863883977167408,0.18899999999999997,False,CalPERS PEP,2026-08-13
"CALPERS::AlpInvest Secondaries Fund (onshore) VII, L.P.","AlpInvest Secondaries Fund (onshore) VII, L.P.",2021,373893702,369919723,503684119,503684119,0,1.3616038499250283,0.151,False,CalPERS PEP,2026-08-13
CALPERS::Amberbrook IX LP,Amberbrook IX LP,2023,150000000,98782500,8827689,160034214,151206525,1.6200664490167793,,True,CalPERS PEP,2026-08-13
"CALPERS::American Industrial Partners Capital Fund VIII, L.P.","American Industrial Partners Capital Fund VIII, L.P.",2024,200000000,110713357,5504573,131991766,126487193,1.1921936934854211,,True,CalPERS PEP,2026-08-13
"CALPERS::AMZL, LP","AMZL, LP",2023,600000000,340713158,0,352288844,352288844,1.0339748722002688,,True,CalPERS PEP,2026-08-13
"CALPERS::Apollo European Principal Finance Fund, L.P.","Apollo European Principal Finance Fund, L.P.",2008,82910917,165281284,200770615,200873528,102913,1.2153434626028197,0.11900000000000001,False,CalPERS PEP,2026-08-13
"CALPERS::Apollo Investment Fund IV, L.P.","Apollo Investment Fund IV, L.P.",1998,150000000,154085315,254289011,254312494,23483,1.650465484007999,0.085,False,CalPERS PEP,2026-08-13
"CALPERS::Apollo Investment Fund IX, L.P","Apollo Investment Fund IX, L.P",2019,550000000,565232093,348067516,856769090,508701574,1.5157828095935806,0.153,False,CalPERS PEP,2026-08-13
"CALPERS::Apollo Investment Fund VI, L.P.","Apollo Investment Fund VI, L.P.",2006,520000000,866357105,1218417644,1227281593,8863949,1.4166001362682885,0.08199999999999999,False,CalPERS PEP,2026-08-13
"CALPERS::Apollo Investment Fund VIII, L.P.","Apollo Investment Fund VIII, L.P.",2013,350000000,505117339,639902611,720120205,80217594,1.4256493479824892,0.08800000000000001,False,CalPERS PEP,2026-08-13
"CALPERS::Apollo Investment Fund X, L.P.","Apollo Investment Fund X, L.P.",2023,225000000,103909711,21889541,127855396,105965855,1.23044703685106,,True,CalPERS PEP,2026-08-13
"CALPERS::Apollo S3 Equity & Hybrid Solutions Fund, L.P.","Apollo S3 Equity & Hybrid Solutions Fund, L.P.",2025,175000000,42194086,0,51874089,51874089,1.2294161082195263,,True,CalPERS PEP,2026-08-13
"CALPERS::Apollo Special Opportunities Managed Account, L.P.","Apollo Special Opportunities Managed Account, L.P.",2007,800000000,800000000,1098196169,1098196169,0,1.37274521125,0.038,False,CalPERS PEP,2026-08-13
"CALPERS::ArcLight Energy Partners Fund III, L.P.","ArcLight Energy Partners Fund III, L.P.",2006,200000000,212312180,314980433,314980433,0,1.4835721294934656,0.086,False,CalPERS PEP,2026-08-13
"CALPERS::ArcLight Energy Partners Fund IV, L.P.","ArcLight Energy Partners Fund IV, L.P.",2007,250000000,255794752,388365992,388847672,481680,1.5201550030236741,0.126,False,CalPERS PEP,2026-08-13
"CALPERS::Ares Corporate Opportunities Fund III, L.P.","Ares Corporate Opportunities Fund III, L.P.",2008,400000000,512078628,1059418691,1060812386,1393695,2.0715810580557954,0.20199999999999999,False,CalPERS PEP,2026-08-13
"CALPERS::Ares Corporate Opportunities Fund V, L.P.","Ares Corporate Opportunities Fund V, L.P.",2017,425000000,478380134,249808028,609823744,360015716,1.2747681198651113,0.054000000000000006,False,CalPERS PEP,2026-08-13
"CALPERS::Ares Corporate Opportunities Fund VI, L.P.","Ares Corporate Opportunities Fund VI, L.P.",2021,250000000,320813673,130075166,452789448,322714282,1.4113782737682754,0.16,False,CalPERS PEP,2026-08-13
"CALPERS::Arlington Capital Partners VI, L.P.","Arlington Capital Partners VI, L.P.",2023,300000000,221108525,10210739,322027881,311817142,1.4564245363221522,,True,CalPERS PEP,2026-08-13
CALPERS::Arsenal Capital Partners Growth LP,Arsenal Capital Partners Growth LP,2022,50000000,22094120,928742,13913070,12984328,0.6297182236721807,-0.20600000000000002,False,CalPERS PEP,2026-08-13
CALPERS::Arsenal Capital Partners VI LP,Arsenal Capital Partners VI LP,2022,150000000,84356587,4250801,78505886,74255085,0.9306432229174942,-0.036000000000000004,False,CalPERS PEP,2026-08-13
CALPERS::ASF VIII B L.P.,ASF VIII B L.P.,2020,300000000,239832449,100729623,333737432,233007809,1.3915441108638307,0.126,False,CalPERS PEP,2026-08-13
CALPERS::Asia Alternatives Capital Partners II LP,Asia Alternatives Capital Partners II LP,2008,48933451,50415824,124295112,126331029,2035917,2.505781299934719,0.16699999999999998,False,CalPERS PEP,2026-08-13
"CALPERS::Asia Alternatives Capital Partners, LP","Asia Alternatives Capital Partners, LP",2007,50000000,53499274,95335473,95677572,342099,1.7883901003965026,0.11,False,CalPERS PEP,2026-08-13
"CALPERS::B Capital Ascent Fund III, L.P.","B Capital Ascent Fund III, L.P.",2024,107567115,26287604,39669,50410806,50371137,1.9176645387689193,,True,CalPERS PEP,2026-08-13
"CALPERS::B Capital Global Growth III, L.P.","B Capital Global Growth III, L.P.",2023,67500000,59384265,2446753,71278146,68831393,1.2002867426244983,,True,CalPERS PEP,2026-08-13
"CALPERS::B Capital Global Growth IV, L.P.","B Capital Global Growth IV, L.P.",2025,271115384,19126892,0,15447102,15447102,0.8076117123472021,,True,CalPERS PEP,2026-08-13
"CALPERS::B Capital MESA Venture Fund I, L.P.","B Capital MESA Venture Fund I, L.P.",2025,35559626,1662500,0,841380,841380,0.5060932330827068,,True,CalPERS PEP,2026-08-13
"CALPERS::B Capital Opportunities Fund II, L.P.","B Capital Opportunities Fund II, L.P.",2024,240000000,54388376,0,78291046,78291046,1.4394812229730853,,True,CalPERS PEP,2026-08-13
"CALPERS::Bain Capital Asia Fund V, L.P.","Bain Capital Asia Fund V, L.P.",2023,300000000,122340237,17682253,162246923,144564670,1.3261942838969651,,True,CalPERS PEP,2026-08-13
