dropped,beta,se,n_obs
ADVENT INTERNATIONAL GPE,0.17751678192384288,0.13190948256573792,60
APOLLO INVESTMENT FUND,0.22305538850378265,0.1365264955932596,64
ARCLIGHT ENERGY PARTNERS FUND,0.21386835430767198,0.1386877007672069,64
ARES CORPORATE OPPORTUNITIES FUND,0.24240651544708916,0.13827492684991627,64
BDC,0.24512466680331418,0.14406133774507565,64
BIRCH HILL EQUITY PARTNERS (US),0.2128843245433764,0.13914457325596705,64
BLACKSTONE CAPITAL PARTNERS,0.20391329273099676,0.13797097720319124,62
BLACKSTONE TACTICAL OPPORTUNITIES FUND,0.2035551128391329,0.14184229555756983,64
BRIDGEPOINT EUROPE,0.21520954464210132,0.14084578419033578,64
CAPITAL LINK FUND,0.213382607731882,0.13766940820589013,64
CARLYLE EUROPE PARTNERS,0.2138683543076719,0.1386877007672067,64
CARLYLE PARTNERS,0.20513856106939674,0.140105736178963,62
CERBERUS CAL PARTNERS,0.2808234412960554,0.11928633095472359,64
CLAYTON DUBILIER & RICE FUND,0.21973248849250956,0.13920654431093094,64
CLEARLAKE CAPITAL PARTNERS,0.23845597249553385,0.14050889489692908,63
CVC CAPITAL PARTNERS,0.2150429574601725,0.13910976403484718,60
EQT,0.2126307534414023,0.13884139498486855,64
FRANCISCO PARTNERS,0.21651166408521974,0.13831385148824843,64
GCM GROSVENOR DEM,0.22057450410612123,0.13564886008949498,64
HELLMAN & FRIEDMAN CAPITAL PARTNERS,0.23847442897558727,0.16018675313768257,62
INSIGHT PARTNERS,0.15371949546108937,0.14870005121476224,62
ONEX PARTNERS,0.20382992656367724,0.14423234762583337,64
PERMIRA,0.2199152222124978,0.13866740730450272,61
PERMIRA GROWTH OPPORTUNITIES,0.21243087305644642,0.13878984328172034,64
RIVERSTONE GLOBAL ENERGY AND POWER FUND,0.13918927997377079,0.15499739537479199,64
SAIF PARTNERS,0.21422714024955858,0.13708519054274584,64
SILVER LAKE PARTNERS,0.2240235816188001,0.14177637836373974,62
SILVER LAKE TECHNOLOGY INVESTORS,0.218993841032956,0.14874175667363054,64
SUMMIT PARTNERS GROWTH EQUITY FUND,0.21465519075118938,0.13850947549768175,64
TAILWIND CAPITAL PARTNERS,0.2160869377534131,0.14252452483279482,64
TCV,0.22814622320554723,0.14102452890621237,64
THOMA BRAVO FUND,0.21961771790882886,0.13871971882320167,64
TOWERBROOK INVESTORS,0.21389355367328944,0.13846246641005178,64
TPG GROWTH,0.22243569598451318,0.13821209930894415,64
TPG PARTNERS,0.21700783393274464,0.13841727300639878,64
TRIDENT,0.21350319857297506,0.13962018143014013,62
TRITON FUND,0.2218463675564904,0.1352289922516317,64
WELSH CARSON ANDERSON & STOWE,0.23627659824576883,0.14696632493786374,62
YUCAIPA CORPORATE INITIATIVES FUND,0.13844179953413754,0.1390101082160206,64
