dropped,beta,se,n_obs
2005,0.2142271402495614,0.13703771515065707,64
2006,0.2170078339327458,0.13731432895118048,63
2007,0.21386835430767193,0.13763287872712796,63
2008,0.11772658312123277,0.14899074825748992,60
2010,0.21422714024955858,0.13708519054274584,64
2011,0.20788146602839852,0.13898573833624292,62
2012,0.21422714024955913,0.13703771515065746,64
2013,0.20852544072669058,0.1386230416028699,63
2014,0.22006477128225005,0.13724995161144657,63
2015,0.23675281314580965,0.1386673957405553,63
2016,0.16209719828952457,0.16415635987027374,61
2017,0.21457545628482197,0.13738820843818716,63
2018,0.15302007002987458,0.17851538019299398,56
2019,0.2887700592044212,0.12485571716266335,58
2020,0.21646798198622808,0.14017260667700746,61
2021,0.30811348771452013,0.15002400700574178,55
2022,0.2158107768694561,0.1413054663662481,57
