clustered_on,beta,power,mde_80
firm_id,0.0,0.056666666666666664,
firm_id,0.1,0.06666666666666667,
firm_id,0.2,0.18666666666666668,
firm_id,0.3,0.45666666666666667,
firm_id,0.4,0.7233333333333334,
firm_id,0.5,0.94,
firm_id,0.6,0.9966666666666667,
firm_id,0.7,1.0,
firm_id,0.8,1.0,
firm_id,,,0.4353846153846154
sponsor_id,0.0,0.056666666666666664,
sponsor_id,0.1,0.09,
sponsor_id,0.2,0.25666666666666665,
sponsor_id,0.3,0.47,
sponsor_id,0.4,0.7433333333333333,
sponsor_id,0.5,0.9333333333333333,
sponsor_id,0.6,0.9966666666666667,
sponsor_id,0.7,1.0,
sponsor_id,0.8,1.0,
sponsor_id,,,0.42982456140350883
