source,fund_name,stem,removed_tail,stranded_number,failure
CalPERS,"57 Stars Global Opportunities Fund 2 (CalPERS), LLC",57 STARS GLOBAL OPPORTUNITIES FUND 2 (CALPERS),LLC,2,STRANDED
CalPERS,Advent Global Technology II Limited Partnership,ADVENT GLOBAL TECHNOLOGY II LIMITED PARTNERSHIP,,II,STRANDED
CalPERS,"Advent International GPE V-D, L.P.",ADVENT INTERNATIONAL GPE V-D,LP,V-D,STRANDED
CalPERS,"Advent International GPE VI-A, L.P.",ADVENT INTERNATIONAL GPE VI-A,LP,VI-A,STRANDED
CalPERS,"Advent International GPE VII-C, L.P.",ADVENT INTERNATIONAL GPE VII-C,LP,VII-C,STRANDED
CalPERS,Advent International GPE VIII-B Limited Partnership,ADVENT INTERNATIONAL GPE VIII-B LIMITED PARTNERSHIP,,VIII-B,STRANDED
CalPERS,Advent International GPE IX Limited Partnership,ADVENT INTERNATIONAL GPE IX LIMITED PARTNERSHIP,,IX,STRANDED
CalPERS,Advent International GPE X Limited Partnership,ADVENT INTERNATIONAL GPE X LIMITED PARTNERSHIP,,X,STRANDED
CalPERS,ASF VIII B L.P.,ASF VIII B,LP,VIII,STRANDED
CalPERS,"Bain Capital Europe Fund VI, SCSp",BAIN CAPITAL EUROPE FUND VI SCSP,,VI,STRANDED
CalPERS,"Balderton Capital Growth II, S.L.P.",BALDERTON CAPITAL GROWTH II SLP,,II,STRANDED
CalPERS,"Balderton Capital IX, S.L.P.",BALDERTON CAPITAL IX SLP,,IX,STRANDED
CalPERS,Baring Vostok Private Equity Fund IV L.P. / Supplemental,BARING VOSTOK PRIVATE EQUITY FUND IV LP / SUPPLEMENTAL,,IV,STRANDED
CalPERS,BDC III C LP,BDC III,C LP,III,CONSUMED+STRANDED
CalPERS,BDC IV D LP,BDC IV D,LP,IV,STRANDED
CalPERS,BDC V C LP,BDC V,C LP,V,CONSUMED+STRANDED
CalPERS,BE VI 'H' L.P.,BE VI 'H',LP,VI,STRANDED
CalPERS,Bessemer Venture Partners XII Institutional L.P.,BESSEMER VENTURE PARTNERS XII INSTITUTIONAL,LP,XII,STRANDED
CalPERS,Biogeneration Capital Fund V Cooperatief U.A.,BIOGENERATION CAPITAL FUND V COOPERATIEF UA,,V,STRANDED
CalPERS,Blackstone Tactical Opportunities Fund II - C L.P.,BLACKSTONE TACTICAL OPPORTUNITIES FUND II -,C LP,II,CONSUMED+STRANDED
CalPERS,Blackstone Tactical Opportunities Fund III-C (Surge) L.P.,BLACKSTONE TACTICAL OPPORTUNITIES FUND III-C (SURGE),LP,III-C,STRANDED
CalPERS,Bridgepoint Europe III 'D' LP,BRIDGEPOINT EUROPE III 'D',LP,III,STRANDED
CalPERS,Bridgepoint Europe IV 'D' LP,BRIDGEPOINT EUROPE IV 'D',LP,IV,STRANDED
CalPERS,Bridgepoint Europe VII D LP,BRIDGEPOINT EUROPE VII D,LP,VII,STRANDED
CalPERS,Canaan XIII Healthcare Fund L.P.,CANAAN XIII HEALTHCARE FUND,LP,XIII,STRANDED
CalPERS,CapVest Equity Partners V SCSp,CAPVEST EQUITY PARTNERS V SCSP,,V,STRANDED
CalPERS,"Carlyle Europe Partners V, S.C.Sp.",CARLYLE EUROPE PARTNERS V SCSP,,V,STRANDED
CalPERS,"Cerberus CAL II Partners, L.P.",CERBERUS CAL II PARTNERS,LP,II,STRANDED
CalPERS,"Cerberus CAL III Partners, L.P.",CERBERUS CAL III PARTNERS,LP,III,STRANDED
CalPERS,"Cerberus CAL IV Partners, L.P.",CERBERUS CAL IV PARTNERS,LP,IV,STRANDED
CalPERS,CVC European Equity Partners IV (D) L.P.,CVC EUROPEAN EQUITY PARTNERS IV (D),LP,IV,STRANDED
CalPERS,CVC European Equity Partners V (B) L.P.,CVC EUROPEAN EQUITY PARTNERS V (B),LP,V,STRANDED
CalPERS,CVC Capital Partners VII (A) L.P.,CVC CAPITAL PARTNERS VII (A),LP,VII,STRANDED
CalPERS,CVC Capital Partners VIII (A) L.P.,CVC CAPITAL PARTNERS VIII (A),LP,VIII,STRANDED
CalPERS,CVC Capital Partners IX (A) L.P.,CVC CAPITAL PARTNERS IX (A),LP,IX,STRANDED
CalPERS,CVC Capital Partners Asia VI (A) L.P.,CVC CAPITAL PARTNERS ASIA VI (A),LP,VI,STRANDED
CalPERS,"Ember Infrastructure Fund II-B, LP",EMBER INFRASTRUCTURE FUND II-B,LP,II-B,STRANDED
CalPERS,EQT IX (No.2) USD SCSp,EQT IX (NO2) USD SCSP,,IX,STRANDED
CalPERS,EQT X (No.2) USD SCSp,EQT X (NO2) USD SCSP,,X,STRANDED
CalPERS,Forbion BioEconomy Fund I Cooperatief U.A.,FORBION BIOECONOMY FUND I COOPERATIEF UA,,I,STRANDED
CalPERS,Forbion Growth Opportunities Fund II Cooperatief U.A.,FORBION GROWTH OPPORTUNITIES FUND II COOPERATIEF UA,,II,STRANDED
CalPERS,Forbion Growth Opportunities Fund III Cooperatief U.A.,FORBION GROWTH OPPORTUNITIES FUND III COOPERATIEF UA,,III,STRANDED
CalPERS,Forbion Ventures Fund VI Cooperatief U.A.,FORBION VENTURES FUND VI COOPERATIEF UA,,VI,STRANDED
CalPERS,Forbion Ventures Fund VII Cooperatief U.A.,FORBION VENTURES FUND VII COOPERATIEF UA,,VII,STRANDED
CalPERS,ForCal I Investment Fund C.V.,FORCAL I INVESTMENT FUND,CV,I,STRANDED
CalPERS,"GA Continuity II (GT) Fund, L.P.",GA CONTINUITY II (GT) FUND,LP,II,STRANDED
CalPERS,"General Catalyst Group XII - Creation, L.P.",GENERAL CATALYST GROUP XII - CREATION,LP,XII,STRANDED
CalPERS,"General Catalyst Group XII - Endurance, L.P.",GENERAL CATALYST GROUP XII - ENDURANCE,LP,XII,STRANDED
CalPERS,"General Catalyst Group XII - Ignition, L.P.",GENERAL CATALYST GROUP XII - IGNITION,LP,XII,STRANDED
CalPERS,"General Catalyst Group XI - Health Assurance, L.P.",GENERAL CATALYST GROUP XI - HEALTH ASSURANCE,LP,XI,STRANDED
CalPERS,"General Catalyst Group XII - Health Assurance, L.P.",GENERAL CATALYST GROUP XII - HEALTH ASSURANCE,LP,XII,STRANDED
CalPERS,"Generation IM Sustainable Private Equity Fund II (A), ILP",GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II (A) ILP,,II,STRANDED
CalPERS,"Genstar X Opportunities Fund I, L.P.",GENSTAR X OPPORTUNITIES FUND,I LP,X,CONSUMED+STRANDED
CalPERS,"Genstar XI Opportunities Fund I, L.P.",GENSTAR XI OPPORTUNITIES FUND,I LP,XI,CONSUMED+STRANDED
CalPERS,"Grain Communications Opportunity Fund IV-A, L.P.",GRAIN COMMUNICATIONS OPPORTUNITY FUND IV-A,LP,IV-A,STRANDED
CalPERS,Hg Genesis 10 A L.P.,HG GENESIS 10 A,LP,10,STRANDED
CalPERS,Hg Mercury 4 A L.P.,HG MERCURY 4 A,LP,4,STRANDED
CalPERS,Hg Saturn 3 A L.P.,HG SATURN 3 A,LP,3,STRANDED
CalPERS,"Insight Partners XII Buyout Annex Fund, L.P.",INSIGHT PARTNERS XII BUYOUT ANNEX FUND,LP,XII,STRANDED
CalPERS,"Insight Partners XIII Growth Buyout Fund, L.P.",INSIGHT PARTNERS XIII GROWTH BUYOUT FUND,LP,XIII,STRANDED
CalPERS,KKR Asian Fund IV SCSp,KKR ASIAN FUND IV SCSP,,IV,STRANDED
CalPERS,KKR European Fund V (USD) SCSp,KKR EUROPEAN FUND V (USD) SCSP,,V,STRANDED
CalPERS,KKR North America Fund XIII SCSp,KKR NORTH AMERICA FUND XIII SCSP,,XIII,STRANDED
CalPERS,"Lightspeed Venture Partners XIV-B (Ignite), L.P.",LIGHTSPEED VENTURE PARTNERS XIV-B (IGNITE),LP,XIV-B,STRANDED
CalPERS,"Lightspeed Venture Partners XV-B (Ignite), L.P.",LIGHTSPEED VENTURE PARTNERS XV-B (IGNITE),LP,XV-B,STRANDED
CalPERS,"Lightspeed Venture Partners XIV-A (Inception), L.P.",LIGHTSPEED VENTURE PARTNERS XIV-A (INCEPTION),LP,XIV-A,STRANDED
CalPERS,"Lightspeed Venture Partners XV-A (Inception), L.P.",LIGHTSPEED VENTURE PARTNERS XV-A (INCEPTION),LP,XV-A,STRANDED
CalPERS,"Mayfield Select III, a Delaware Limited Partnership",MAYFIELD SELECT III A DELAWARE LIMITED PARTNERSHIP,,III,STRANDED
CalPERS,"Mayfield XVII, a Delaware Limited Partnership",MAYFIELD XVII A DELAWARE LIMITED PARTNERSHIP,,XVII,STRANDED
