fund_name_cal,fund_name_ore,stem,fund_number,vintage_cal,vintage_ore,tvpi_reported_cal,tvpi_reported_ore,log_diff,nav_cal,nav_ore
"Apollo Investment Fund VI, L.P.",Apollo Investment Fund VI,APOLLO INVESTMENT FUND,6.0,2006,2006,1.4166001362682883,1.50971250971251,-0.06365951125002628,8863949,3400000.0
"Apollo Investment Fund VIII, L.P.",Apollo Investment Fund VIII,APOLLO INVESTMENT FUND,8.0,2013,2013,1.4256493479824892,1.5053260587165498,-0.05438213232208161,80217594,0.0
"Apollo Investment Fund IX, L.P",Apollo Investment Fund IX,APOLLO INVESTMENT FUND,9.0,2019,2018,1.5157828095935806,1.378764897074756,0.09474391522127651,508701574,0.0
Arsenal Capital Partners VI LP,Arsenal Capital Partners VI,ARSENAL CAPITAL PARTNERS,6.0,2022,2021,0.9306432229174942,0.9458955223880596,-0.016256136880543802,74255085,74300000.0
Blackstone Capital Partners VI L.P.,Blackstone Capital Partners VI,BLACKSTONE CAPITAL PARTNERS,6.0,2011,2011,1.7964222087013269,1.8114678899082568,-0.008340480455298449,69667079,37200000.0
"Blackstone Capital Partners VII, L.P.",Blackstone Capital Partners VII,BLACKSTONE CAPITAL PARTNERS,7.0,2016,2016,1.7862524215290232,1.7241661551053815,0.03537626064177235,298985478,358800000.0
"Blackstone Capital Partners VIII, L.P.",Blackstone Capital Partners VIII,BLACKSTONE CAPITAL PARTNERS,8.0,2021,2020,1.240977369378128,1.2587273530711445,-0.014201903025939988,270459834,257500000.0
"CDH Fund V, L.P.",CDH Fund V,CDH FUND,5.0,2014,2012,1.4642742053952171,1.4632478632478632,0.0007011678582348746,54936572,28100000.0
"Centerbridge Capital Partners III, L.P.",Centerbridge Capital Partners III,CENTERBRIDGE CAPITAL PARTNERS,3.0,2015,2015,1.5506245598036694,1.546908315565032,0.0023994877027612715,84748946,75400000.0
"Clearlake Capital Partners VII, L.P.",Clearlake Capital Partners VII,CLEARLAKE CAPITAL PARTNERS,7.0,2022,2021,1.1082253715449777,1.1087562744004462,-0.00047894204860733647,277304340,198100000.0
"Clearlake Capital Partners VIII, L.P.",Clearlake Capital Partners VIII,CLEARLAKE CAPITAL PARTNERS,8.0,2025,2023,0.697505363030394,0.72,-0.0317410094116754,10079175,12600000.0
CVC European Equity Partners III LP,CVC European Equity Partners III,CVC EUROPEAN EQUITY PARTNERS,3.0,2001,2001,2.608032112333174,2.5869809203142538,0.00810442903984876,5071065,3800000.0
"CVC Capital Partners VI, L.P.",CVC Capital Partners VI,CVC CAPITAL PARTNERS,6.0,2014,2014,2.0241565576978995,2.0165369649805447,0.0037714326543980548,449157423,134500000.0
CVC Capital Partners Asia V L.P.,CVC Capital Partners Asia V,CVC CAPITAL PARTNERS ASIA,5.0,2020,2020,1.420162576233848,1.4042553191489362,0.011264215048814252,222365308,166800000.0
CVC Capital Partners Asia VI (A) L.P.,CVC Capital Partners Asia VI (A),CVC CAPITAL PARTNERS ASIA VI (A),6.0,2024,2022,1.124235431331128,1.106666666666667,0.015750693757498255,43551510,21700000.0
