filename,kind,source,as_of,download_timestamp,sha256,rows
calpers_2025-09-30.csv,snapshot,CalPERS PEP,2025-09-30,2026-08-14T03:52:55+00:00,a9609e0e3b52e71035606ca900871b84f9981f5bc19e83a6e266cfb5ac924527,459
oregon_2021-03-31.csv,snapshot,Oregon PERS OPERF,2021-03-31,2026-08-14T03:41:45+00:00,367aa1f7f5b51d68222278dde56f0b136a380f95b941fa799ff86a88c96c3b5f,386
oregon_2021-06-30.csv,snapshot,Oregon PERS OPERF,2021-06-30,2026-08-14T03:41:44+00:00,7d70b9d1badc9703836ec4870735991d9c11633da2d0232fe3d3219f27fe9fb7,392
oregon_2021-09-30.csv,snapshot,Oregon PERS OPERF,2021-09-30,2026-08-14T03:41:43+00:00,171e57fc79193a86591513b52f1f5e9d46ac2555ba938899d6ac851af4c26019,396
oregon_2021-12-31.csv,snapshot,Oregon PERS OPERF,2021-12-31,2026-08-14T03:41:42+00:00,9ef433608c17d28b59fd28e6708b0ed170a9623068f6e87d851feb0da57a1682,400
oregon_2022-06-30.csv,snapshot,Oregon PERS OPERF,2022-06-30,2026-08-14T03:41:42+00:00,8e045ff04b1a568e698c54e6078c57571f9aa54e976fda587f0febc5b41b7ee2,412
oregon_2022-12-31.csv,snapshot,Oregon PERS OPERF,2022-12-31,2026-08-14T03:41:41+00:00,b5c58f4b8344607770e28ac2ddc6fff6ef05fbc594676c4a07b7ff2cbae2bf74,418
oregon_2023-06-30.csv,snapshot,Oregon PERS OPERF,2023-06-30,2026-08-14T03:41:40+00:00,3b5424b30fa16493d93266056eb01b72ebd046789905795d1e4ac4019e29f96f,430
oregon_2023-09-30.csv,snapshot,Oregon PERS OPERF,2023-09-30,2026-08-14T03:41:39+00:00,a3af48521d8fe736b71287b76094a7789adc0500f40077d636c6724d3c5fdb67,435
oregon_2023-12-31.csv,snapshot,Oregon PERS OPERF,2023-12-31,2026-08-14T03:00:29+00:00,4e733c52b750b750e63d91602c79a07b5492961aa3a3f37aa01ba3c66cffc3e2,437
oregon_2024-03-31.csv,snapshot,Oregon PERS OPERF,2024-03-31,2026-08-14T03:00:29+00:00,dad0d6c6a22d964ad2ec90b582d5c39a7c1ba6a1e0c4b045746772a75af03b94,437
oregon_2024-06-30.csv,snapshot,Oregon PERS OPERF,2024-06-30,2026-08-14T03:00:30+00:00,38e0e1f80e0f41428c83b919bb1de04ee3805ac66385b324a68ba21e34aa932f,441
