fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::VantagePoint Cleantech Partners II,VantagePoint Cleantech Partners II,2007,50000000.0,48800000.0,11500000.0,11500000.0,0.0,0.23565573770491804,0.24,-0.174,False,True,False,Oregon PERS OPERF,2023-09-30
OPERF::KSL Capital Partners II,KSL Capital Partners II,2005,100000000.0,119400000.0,223600000.0,223500000.0,-100000.0,1.8718592964824121,1.87,0.153,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::KSL Capital Partners Supplemental II,KSL Capital Partners Supplemental II,2009,50000000.0,21700000.0,47000000.0,47000000.0,0.0,2.165898617511521,2.16,0.248,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::KSL Capital Partners IV,KSL Capital Partners IV,2015,150000000.0,166600000.0,135800000.0,284300000.0,148500000.0,1.706482593037215,1.71,0.153,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::Roark Capital Partners V,Roark Capital Partners V,2018,250000000.0,230300000.0,55000000.0,367000000.0,312000000.0,1.593573599652627,1.59,0.165,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::Roark Capital Partners VI,Roark Capital Partners VI,2021,250000000.0,86100000.0,8500000.0,108700000.0,100200000.0,1.2624854819976772,1.26,,True,False,False,Oregon PERS OPERF,2023-09-30
OPERF::KSL Capital Partners V,KSL Capital Partners V,2019,200000000.0,191000000.0,83700000.0,251800000.0,168100000.0,1.318324607329843,1.32,0.17600000000000002,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::KSL Capital Partners III,KSL Capital Partners III,2011,100000000.0,115400000.0,114900000.0,146700000.0,31800000.0,1.2712305025996533,1.27,0.09,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::Roark Capital Partners IV,Roark Capital Partners IV,2016,100000000.0,90500000.0,22400000.0,134200000.0,111800000.0,1.4828729281767956,1.48,0.071,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::ClearVue Partners III,ClearVue Partners III,2019,150000000.0,149700000.0,2500000.0,171100000.0,168600000.0,1.1429525718102873,1.14,0.045,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::ClearVue OPERF,ClearVue OPERF,2019,100000000.0,102600000.0,3000000.0,137900000.0,134900000.0,1.3440545808966862,1.34,0.11900000000000001,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::KSL Capital Partners Credit Opportunities Fund,KSL Capital Partners Credit Opportunities Fund,2014,75000000.0,34100000.0,47100000.0,47100000.0,0.0,1.3812316715542523,1.38,0.14400000000000002,False,False,False,Oregon PERS OPERF,2023-09-30
OPERF::Permira VII,Permira VII,2019,252300000.0,232900000.0,7100000.0,253000000.0,245900000.0,1.0863031343924432,1.09,0.037000000000000005,False,False,False,Oregon PERS OPERF,2023-09-30
